City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
52,Barrow,71.2906,-156.7887,30.22,86,90,10.36,US,2021-05-29 16:48:24
53,Lebu,-37.6167,-73.65,53.17,70,100,3.85,CL,2021-05-29 16:48:24
54,Mut,36.6439,33.4389,74.77,56,19,2.3,TR,2021-05-29 16:48:24
55,Ballina,-28.8667,153.5667,58.96,69,90,17.27,AU,2021-05-29 16:48:24
56,Albany,42.6001,-73.9662,48.92,85,100,4.94,US,2021-05-29 16:48:25
57,Valera,9.3178,-70.6036,80.38,80,98,2.46,VE,2021-05-29 16:48:25
58,Avarua,-21.2078,-159.775,71.65,73,20,3.44,CK,2021-05-29 16:48:25
59,Nova Petropolis,-29.3764,-51.1144,64.94,93,98,4.0,BR,2021-05-29 16:48:26
60,Viedma,-40.8135,-62.9967,51.89,40,5,16.93,AR,2021-05-29 16:48:26
61,Jagatsinghapur,20.2667,86.1667,88.23,84,24,9.8,IN,2021-05-29 16:48:26
62,Semnan,35.5729,53.3971,87.33,14,1,4.81,IR,2021-05-29 16:48:26
63,Saskylakh,71.9167,114.0833,29.79,96,16,6.58,RU,2021-05-29 16:48:27
64,Pochutla,15.7432,-96.4661,91.81,46,99,5.77,MX,2021-05-29 16:48:27
65,Babstovo,48.1167,132.4833,51.85,87,74,2.95,RU,2021-05-29 16:48:27
66,Vorukh,39.8494,70.5838,67.41,53,97,7.87,TJ,2021-05-29 16:48:28
67,Vaini,-21.2,-175.2,71.76,100,75,0.0,TO,2021-05-29 16:48:28
68,Bethel,41.3712,-73.414,48.58,89,90,1.99,US,2021-05-29 16:48:28
69,Bengkulu,-3.8004,102.2655,75.7,88,100,4.92,ID,2021-05-29 16:48:29
70,Vestmanna,62.1564,-7.1664,50.92,93,90,6.82,FO,2021-05-29 16:48:29
71,Hobyo,5.3505,48.5268,79.77,80,92,21.83,SO,2021-05-29 16:48:29
72,Buala,-8.145,159.5921,76.73,89,100,4.65,SB,2021-05-29 16:48:30
73,Narsaq,60.9167,-46.05,43.02,74,100,6.4,GL,2021-05-29 16:48:30
74,Nabire,-3.3667,135.4833,77.23,93,100,4.36,ID,2021-05-29 16:48:30
